		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2047.984375	M = 1048576	N = 8	m = 9	n = 8388608
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2060 2012 2093 2116 2148 2035 2023 2064  9.668798 0.289046 SUCCESS   0
000000011 2041 2061 2045 2057 2093 2030 2033 2113  3.590800 0.892030 SUCCESS   1
000000101 2047 2086 2069 2066 2091 1983 2056 2076  4.613543 0.797969 SUCCESS   2
000000111 2040 2029 2027 2011 2045 2076 2030 2062  1.790910 0.986765 SUCCESS   3
000001001 2101 2016 2014 2055 2107 2055 2053 2092  5.319398 0.722956 SUCCESS   4
000001011 1998 2007 2097 1995 2049 2031 2026 2034  5.230509 0.732679 SUCCESS   5
000001101 2079 2120 2029 2101 2056 2046 2051 2079  5.231582 0.732562 SUCCESS   6
000001111 2042 2068 1982 2025 2174 2037 2081 2070 11.562611 0.171812 SUCCESS   7
000010001 2035 2039 2032 2006 1997 2021 2032 2073  3.270882 0.916226 SUCCESS   8
000010011 2087 2035 2009 2049 2062 2090 2068 2040  2.847349 0.943569 SUCCESS   9
000010101 1951 2092 2099 2063 2030 2018 2100 1980 11.475459 0.176186 SUCCESS  10
000010111 2051 1993 2130 2084 2124 2035 2088 1992 10.979057 0.202889 SUCCESS  11
000011001 2023 2013 2095 2039 2024 2006 2022 2021  3.980099 0.858915 SUCCESS  12
000011011 2044 2127 2049 2109 2018 2064 2137 2076 10.023991 0.263346 SUCCESS  13
000011101 2079 2079 2070 2070 1997 2055 2004 2003  4.798060 0.778926 SUCCESS  14
000011111 2031 2069 2032 2021 2080 2106 2104 2060  4.740768 0.784890 SUCCESS  15
000100011 2054 2092 1947 1983 2043 2044 2077 2090  9.617331 0.292918 SUCCESS  16
000100101 2083 1989 2088 2075 2046 2060 2080 2051  4.150885 0.843260 SUCCESS  17
000100111 1938 2000 2054 2063 2084 2065 2024 2043  8.508824 0.385407 SUCCESS  18
000101001 2087 2036 2060 2108 2016 2067 2022 2064  3.903221 0.865748 SUCCESS  19
000101011 1983 2123 2102 2016 2043 2010 2086 1991 10.076295 0.259712 SUCCESS  20
000101101 2007 1986 2054 1933 2079 2047 2033 1998 11.346103 0.182849 SUCCESS  21
000101111 2047 2027 2091 2045 2105 2086 2061 2070  3.863953 0.869185 SUCCESS  22
000110011 2003 1994 2014 2056 2006 1953 2015 2003 10.127968 0.256159 SUCCESS  23
000110101 2041 1988 2036 2119 2035 2068 1967 2089  8.910970 0.349862 SUCCESS  24
000110111 2014 2119 1990 2110 2070 2055 2061 2034  7.224827 0.512581 SUCCESS  25
000111001 2074 2007 2001 2029 1992 2032 2070 2009  5.211459 0.734754 SUCCESS  26
000111011 2045 2013 2062 2059 2112 2071 2003 1952  8.795408 0.359848 SUCCESS  27
000111101 2033 2051 2072 2075 2017 2000 2022 1992  4.349591 0.824286 SUCCESS  28
000111111 2048 2027 2031 2020 2078 2112 2086 2049  4.018735 0.855429 SUCCESS  29
001000011 2050 2030 2038 2054 2063 2052 1940 2058  6.295913 0.614123 SUCCESS  30
001000101 2098 2038 2015 2047 1965 2059 2052 2040  5.443341 0.709309 SUCCESS  31
001000111 2024 2072 1989 1953 2051 2013 2032 2034  7.746087 0.458658 SUCCESS  32
001001011 2086 2027 2051 2016 1997 2039 2014 2077  3.835654 0.871638 SUCCESS  33
001001101 2008 2141 2029 2087 2133 2074 2059 2041 10.205998 0.250864 SUCCESS  34
001001111 2004 1984 2028 2061 2064 2092 2049 2011  5.131393 0.743445 SUCCESS  35
001010011 2076 2054 2083 2043 2056 2032 2023 2033  1.636617 0.990200 SUCCESS  36
001010101 2051 2053 2060 2083 2058 2056 1999 2039  2.045187 0.979595 SUCCESS  37
001010111 2006 2068 2070 2020 2099 2039 2134 1998  8.086649 0.425052 SUCCESS  38
001011011 2074 2052 2026 1990 2121 2070 2048 2011  5.920329 0.656156 SUCCESS  39
001011101 2127 2014 2125 1955 2010 1994 1957 2018 17.934471 0.021723 SUCCESS  40
001011111 2003 2094 2100 2020 2127 2086 2033 1967 11.162343 0.192669 SUCCESS  41
001100101 2048 2035 2065 2093 2073 2000 2070 2018  3.432608 0.904357 SUCCESS  42
001100111 2027 2023 2094 2011 2037 1957 2048 2021  6.907482 0.546647 SUCCESS  43
001101011 2108 2009 2017 2057 2028 2029 1989 2042  5.271576 0.728194 SUCCESS  44
001101101 2035 2121 2038 2098 2060 2062 2036 2070  4.580935 0.801282 SUCCESS  45
001101111 1990 2138 1989 2072 2034 2054 2149 2011 13.800332 0.087120 SUCCESS  46
